"","PBA_cluster","MS_protein","Pearson_corr","p_value"
"1","c6","IGLV3-19",0.885714285714286,0.0333333333333333
"2","c12","IGLV3-19",0.942857142857143,0.0166666666666667
"3","c14","CA1",0.885714285714286,0.0333333333333333
"4","c7","PRMT1",0.885714285714286,0.0333333333333333
"5","c2","GPLD1",1,0.00277777777777778
"6","c7","KIF5B",0.885714285714286,0.0333333333333333
"7","c2","PGLYRP2",0.885714285714286,0.0333333333333333
"8","c6","PGLYRP2",0.885714285714286,0.0333333333333333
"9","c12","PGLYRP2",0.942857142857143,0.0166666666666667
"10","c6","CFP",0.885714285714286,0.0333333333333333
"11","c12","CFP",0.942857142857143,0.0166666666666667
"12","c7","SH3GL1",0.942857142857143,0.0166666666666667
"13","c2","DSG1",0.942857142857143,0.0166666666666667
"14","c6","NOP58",0.942857142857143,0.0166666666666667
"15","c12","NOP58",0.885714285714286,0.0333333333333333
"16","c7","ADH5",0.885714285714286,0.0333333333333333
"17","c7","PFKL",0.942857142857143,0.0166666666666667
"18","c7","PSME3",0.811679449913428,0.0498575851013404
"19","c7","MYLK",0.84066800169605,0.0360575728451593
"20","c2","HPX",1,0.00277777777777778
"21","c7","ACTR1B",0.885714285714286,0.0333333333333333
"22","c7","PLRG1",0.885714285714286,0.0333333333333333
"23","c2","IGHG4",0.942857142857143,0.0166666666666667
"24","c3","FAM184A",0.885714285714286,0.0333333333333333
"25","c4","FAM184A",0.885714285714286,0.0333333333333333
"26","c12","PLG",0.885714285714286,0.0333333333333333
"27","c6","CD5L",0.942857142857143,0.0166666666666667
"28","c12","CD5L",0.885714285714286,0.0333333333333333
"29","c6","DBH",1,0.00277777777777778
"30","c12","DBH",0.942857142857143,0.0166666666666667
"31","c2","IGLV5-52",0.885714285714286,0.0333333333333333
"32","c6","APOL1",0.942857142857143,0.0166666666666667
"33","c12","APOL1",1,0.00277777777777778
"34","c7","CFL1",0.885714285714286,0.0333333333333333
"35","c7","CRLF3",0.885714285714286,0.0333333333333333
"36","c14","LSM8",0.885714285714286,0.0333333333333333
"37","c2","IGLV6-57",0.942857142857143,0.0166666666666667
"38","c14","DDX5",0.942857142857143,0.0166666666666667
"39","c2","BCHE",0.942857142857143,0.0166666666666667
"40","c6","BCHE",0.942857142857143,0.0166666666666667
"41","c12","BCHE",0.885714285714286,0.0333333333333333
"42","c6","PSME2",1,0.00277777777777778
"43","c12","PSME2",0.942857142857143,0.0166666666666667
"44","c7","GSPT1",0.885714285714286,0.0333333333333333
"45","c9","IGLV3-27",0.885714285714286,0.0333333333333333
"46","c2","IGKV1-17",0.942857142857143,0.0166666666666667
"47","c2","IGKV1-16",0.942857142857143,0.0166666666666667
"48","c7","MAN1A1",0.942857142857143,0.0166666666666667
"49","c13","CD36",0.942857142857143,0.0166666666666667
"50","c7","F11",0.942857142857143,0.0166666666666667
"51","c3","HMBS",1,0.00277777777777778
"52","c4","HMBS",1,0.00277777777777778
"53","c7","C1QTNF3",0.885714285714286,0.0333333333333333
"54","c7","HPD",0.885714285714286,0.0333333333333333
"55","c7","SEC13",0.885714285714286,0.0333333333333333
"56","c2","MASP2",0.885714285714286,0.0333333333333333
"57","c7","ARHGDIA",0.885714285714286,0.0333333333333333
"58","c7","PTPN6",0.885714285714286,0.0333333333333333
"59","c2","KRT1",0.885714285714286,0.0333333333333333
"60","c1","IGKV1D-8",0.942857142857143,0.0166666666666667
"61","c7","CD151",0.885714285714286,0.0333333333333333
"62","c2","IGLV8-61",1,0.00277777777777778
"63","c9","LUM",0.885714285714286,0.0333333333333333
"64","c8","FGA",0.942857142857143,0.0166666666666667
"65","c12","FGA",0.885714285714286,0.0333333333333333
"66","c2","IGLV2-11",1,0.00277777777777778
"67","c7","CCT5",0.811679449913428,0.0498575851013404
"68","c7","MRC1",0.885714285714286,0.0333333333333333
"69","c7","AAMP",0.885714285714286,0.0333333333333333
"70","c2","FLG2",0.942857142857143,0.0166666666666667
"71","c7","CANX",0.885714285714286,0.0333333333333333
"72","c7","BPNT1",0.885714285714286,0.0333333333333333
"73","c2","IGLV1-51",0.942857142857143,0.0166666666666667
"74","c9","JCHAIN",0.942857142857143,0.0166666666666667
"75","c7","FTO",0.885714285714286,0.0333333333333333
"76","c2","IGHM",1,0.00277777777777778
"77","c2","C4BPA",1,0.00277777777777778
"78","c12","IGHA1",0.885714285714286,0.0333333333333333
"79","c7","GDI2",0.885714285714286,0.0333333333333333
"80","c2","APOC4",1,0.00277777777777778
"81","c2","TF",1,0.00277777777777778
"82","c2","ORM2",0.885714285714286,0.0333333333333333
"83","c7","RACK1",0.885714285714286,0.0333333333333333
"84","c7","SLC2A1",0.885714285714286,0.0333333333333333
"85","c9","CD44",0.942857142857143,0.0166666666666667
"86","c8","FGG",1,0.00277777777777778
"87","c2","C1QA",1,0.00277777777777778
"88","c2","SERPINA4",1,0.00277777777777778
"89","c7","CNOT1",0.885714285714286,0.0333333333333333
"90","c2","KRT5",0.942857142857143,0.0166666666666667
"91","c6","IGHV1-3",0.942857142857143,0.0166666666666667
"92","c12","IGHV1-3",0.885714285714286,0.0333333333333333
"93","c1","CLEC3B",0.885714285714286,0.0333333333333333
"94","c2","SERPINA6",1,0.00277777777777778
"95","c7","CSTF3",0.942857142857143,0.0166666666666667
"96","c2","C1S",0.885714285714286,0.0333333333333333
"97","c1","IGHG3",0.885714285714286,0.0333333333333333
"98","c7","EIF4A3",0.885714285714286,0.0333333333333333
"99","c8","SERPING1",0.885714285714286,0.0333333333333333
"100","c12","SERPING1",0.942857142857143,0.0166666666666667
"101","c2","LPA",0.942857142857143,0.0166666666666667
"102","c2","IGLL5",1,0.00277777777777778
"103","c2","CFHR2",0.885714285714286,0.0333333333333333
"104","c7","AHCY",0.885714285714286,0.0333333333333333
"105","c7","USP14",0.885714285714286,0.0333333333333333
"106","c1","C8A",0.885714285714286,0.0333333333333333
"107","c6","IGHG2",0.942857142857143,0.0166666666666667
"108","c11","IGHG2",0.885714285714286,0.0333333333333333
"109","c0","IGKV3-7",0.885714285714286,0.0333333333333333
"110","c7","CALR",0.942857142857143,0.0166666666666667
"111","c1","IGLL1",1,0.00277777777777778
"112","c2","A1BG",0.942857142857143,0.0166666666666667
"113","c7","PRKACA",0.885714285714286,0.0333333333333333
"114","c2","CRTAC1",0.885714285714286,0.0333333333333333
"115","c6","CRTAC1",0.885714285714286,0.0333333333333333
"116","c11","CRTAC1",0.942857142857143,0.0166666666666667
"117","c2","PROS1",1,0.00277777777777778
"118","c8","PON1",0.885714285714286,0.0333333333333333
"119","c6","IGHD",1,0.00277777777777778
"120","c12","IGHD",0.942857142857143,0.0166666666666667
"121","c2","IGLV1-47",1,0.00277777777777778
"122","c2","ANPEP",0.885714285714286,0.0333333333333333
"123","c2","DSP",0.942857142857143,0.0166666666666667
"124","c0","PPP5C",0.885714285714286,0.0333333333333333
"125","c2","KRT9",0.942857142857143,0.0166666666666667
"126","c7","RPL27A",0.885714285714286,0.0333333333333333
"127","c7","RASA1",0.942857142857143,0.0166666666666667
"128","c2","TTN",1,0.00277777777777778
"129","c2","IGKV1-5",0.942857142857143,0.0166666666666667
"130","c6","IGKV1-5",0.942857142857143,0.0166666666666667
"131","c12","IGKV1-5",0.885714285714286,0.0333333333333333
"132","c2","IGHV3-49",0.942857142857143,0.0166666666666667
"133","c6","IGHV3-49",0.942857142857143,0.0166666666666667
"134","c12","IGHV3-49",0.885714285714286,0.0333333333333333
"135","c2","C1QC",0.942857142857143,0.0166666666666667
"136","c9","CLU",0.942857142857143,0.0166666666666667
"137","c2","ORM1",0.885714285714286,0.0333333333333333
"138","c7","MAPK3",0.942857142857143,0.0166666666666667
"139","c3","EFEMP2",0.885714285714286,0.0333333333333333
"140","c4","EFEMP2",0.885714285714286,0.0333333333333333
"141","c11","TOP2A",0.885714285714286,0.0333333333333333
"142","c2","MST1",0.942857142857143,0.0166666666666667
"143","c14","SLC4A1",0.942857142857143,0.0166666666666667
"144","c5","NT5C",0.885714285714286,0.0333333333333333
"145","c7","NUDC",0.942857142857143,0.0166666666666667
"146","c2","ST3GAL6",0.885714285714286,0.0333333333333333
"147","c6","ST3GAL6",0.885714285714286,0.0333333333333333
"148","c12","ST3GAL6",0.942857142857143,0.0166666666666667
"149","c2","SAA4",0.885714285714286,0.0333333333333333
"150","c7","CHMP4A",0.885714285714286,0.0333333333333333
"151","c7","THBS3",0.885714285714286,0.0333333333333333
"152","c2","BTD",1,0.00277777777777778
"153","c9","SYNCRIP",0.885714285714286,0.0333333333333333
"154","c6","IGHA2",0.942857142857143,0.0166666666666667
"155","c12","IGHA2",0.885714285714286,0.0333333333333333
"156","c11","MADCAM1",1,0.00277777777777778
"157","c1","CFH",0.885714285714286,0.0333333333333333
"158","c8","IGHV3-38",0.885714285714286,0.0333333333333333
"159","c12","IGHV3-38",0.942857142857143,0.0166666666666667
"160","c7","PRDX2",0.885714285714286,0.0333333333333333
"161","c7","CAPZA2",0.942857142857143,0.0166666666666667
"162","c2","APCS",0.885714285714286,0.0333333333333333
"163","c6","APCS",0.885714285714286,0.0333333333333333
"164","c12","APCS",0.942857142857143,0.0166666666666667
"165","c7","HMCN2",0.885714285714286,0.0333333333333333
"166","c7","CARM1",0.942857142857143,0.0166666666666667
"167","c2","ECM1",0.942857142857143,0.0166666666666667
"168","c9","RPS12",1,0.00277777777777778
"169","c2","AFM",0.942857142857143,0.0166666666666667
"170","c2","HRG",1,0.00277777777777778
"171","c2","IGLV2-18",1,0.00277777777777778
"172","c2","RBP4",0.885714285714286,0.0333333333333333
"173","c9","ACAN",0.942857142857143,0.0166666666666667
"174","c8","SERPINA3",0.942857142857143,0.0166666666666667
"175","c12","SERPINA3",0.885714285714286,0.0333333333333333
"176","c2","CFI",1,0.00277777777777778
"177","c2","C1R",1,0.00277777777777778
"178","c7","SEC31A",0.885714285714286,0.0333333333333333
"179","c8","MYO1C",0.885714285714286,0.0333333333333333
"180","c12","MYO1C",0.942857142857143,0.0166666666666667
"181","c0","APOA1",0.942857142857143,0.0166666666666667
"182","c12","SERPINA1",0.885714285714286,0.0333333333333333
"183","c2","CP",0.942857142857143,0.0166666666666667
"184","c6","CP",0.942857142857143,0.0166666666666667
"185","c12","CP",0.885714285714286,0.0333333333333333
"186","c6","IGHV1-46",1,0.00277777777777778
"187","c12","IGHV1-46",0.942857142857143,0.0166666666666667
"188","c2","IGHV3-73",0.942857142857143,0.0166666666666667
"189","c8","A0A0G2JRQ6",0.885714285714286,0.0333333333333333
"190","c0","APOD",0.885714285714286,0.0333333333333333
"191","c9","IGLV3-1",0.885714285714286,0.0333333333333333
"192","c2","FN1",1,0.00277777777777778
"193","c2","C1QB",1,0.00277777777777778
"194","c2","IGHV7-4-1",0.885714285714286,0.0333333333333333
"195","c2","PCYOX1",0.942857142857143,0.0166666666666667
"196","c1","F12",0.942857142857143,0.0166666666666667
"197","c7","RNPEP",0.885714285714286,0.0333333333333333
"198","c7","FABP5",1,0.00277777777777778
"199","c1","CNDP1",0.885714285714286,0.0333333333333333
"200","c2","TTR",1,0.00277777777777778
"201","c2","DKK3",0.885714285714286,0.0333333333333333
"202","c8","KLKB1",0.885714285714286,0.0333333333333333
"203","c12","KLKB1",0.942857142857143,0.0166666666666667
"204","c7","WDR5",0.885714285714286,0.0333333333333333
"205","c6","IGLV9-49",1,0.00277777777777778
"206","c12","IGLV9-49",0.942857142857143,0.0166666666666667
"207","c7","MPP1",0.942857142857143,0.0166666666666667
"208","c9","LBP",0.942857142857143,0.0166666666666667
"209","c9","B3GNT2",0.885714285714286,0.0333333333333333
"210","c8","IGHV1-45",0.885714285714286,0.0333333333333333
"211","c12","IGHV1-45",0.942857142857143,0.0166666666666667
"212","c2","IGKV4-1",0.942857142857143,0.0166666666666667
"213","c7","ARF6",0.885714285714286,0.0333333333333333
"214","c8","FGB",0.885714285714286,0.0333333333333333
"215","c12","FGB",0.942857142857143,0.0166666666666667
"216","c7","G6PD",0.885714285714286,0.0333333333333333
"217","c5","PODXL",1,0.0166666666666667
"218","c1","APOH",0.885714285714286,0.0333333333333333
"219","c7","COL5A1",0.885714285714286,0.0333333333333333
"220","c7","HAT1",0.885714285714286,0.0333333333333333
"221","c2","IGLV3-9",0.942857142857143,0.0166666666666667
"222","c2","CNN2",0.885714285714286,0.0333333333333333
"223","c7","ANTXR2",0.885714285714286,0.0333333333333333
"224","c7","WDFY1",0.885714285714286,0.0333333333333333
"225","c0","AGT",0.885714285714286,0.0333333333333333
"226","c6","C8B",1,0.00277777777777778
"227","c12","C8B",0.942857142857143,0.0166666666666667
"228","c2","ALB",0.942857142857143,0.0166666666666667
"229","c2","KPRP",0.885714285714286,0.0333333333333333
"230","c2","CFB",0.942857142857143,0.0166666666666667
"231","c7","SLC7A1",0.885714285714286,0.0333333333333333
"232","c9","AZGP1",0.942857142857143,0.0166666666666667
"233","c7","XPOT",0.942857142857143,0.0166666666666667
"234","c7","SMU1",0.942857142857143,0.0166666666666667
"235","c5","MARCKSL1",0.942857142857143,0.0166666666666667
"236","c2","HRNR",0.942857142857143,0.0166666666666667
"237","c7","CAPN1",0.885714285714286,0.0333333333333333
"238","c6","IGHV1-8",0.942857142857143,0.0166666666666667
"239","c12","IGHV1-8",1,0.00277777777777778
"240","c2","C2",0.885714285714286,0.0333333333333333
"241","c6","C2",0.885714285714286,0.0333333333333333
"242","c12","C2",0.942857142857143,0.0166666666666667
"243","c7","AMDHD1",0.885714285714286,0.0333333333333333
"244","c1","EHD4",0.942857142857143,0.0166666666666667
"245","c7","PSMB6",0.942857142857143,0.0166666666666667
"246","c2","ATRN",0.942857142857143,0.0166666666666667
"247","c6","ATRN",0.942857142857143,0.0166666666666667
"248","c12","ATRN",0.885714285714286,0.0333333333333333
"249","c1","IGKV5-2",1,0.0166666666666667
"250","c2","IGKV5-2",1,0.0166666666666667
"251","c7","CERT1",0.885714285714286,0.0333333333333333
"252","c8","HP",0.885714285714286,0.0333333333333333
"253","c12","HP",0.942857142857143,0.0166666666666667
"254","c6","ITIH4",0.942857142857143,0.0166666666666667
"255","c12","ITIH4",0.885714285714286,0.0333333333333333
"256","c1","C8G",0.942857142857143,0.0166666666666667
"257","c8","C8G",0.885714285714286,0.0333333333333333
"258","c1","SPTA1",0.885714285714286,0.0333333333333333
"259","c8","SPTA1",0.942857142857143,0.0166666666666667
"260","c6","IGHV1OR15-1",1,0.00277777777777778
"261","c12","IGHV1OR15-1",0.942857142857143,0.0166666666666667
"262","c12","CRISP3",0.885714285714286,0.0333333333333333
"263","c2","IGKV3-20",1,0.00277777777777778
"264","c2","RAB14",0.942857142857143,0.0166666666666667
"265","c2","IGHV3-7",0.885714285714286,0.0333333333333333
"266","c6","IGHV3-7",0.885714285714286,0.0333333333333333
"267","c12","IGHV3-7",0.942857142857143,0.0166666666666667
"268","c6","IGHV5-51",1,0.00277777777777778
"269","c12","IGHV5-51",0.942857142857143,0.0166666666666667
"270","c2","CPN2",0.942857142857143,0.0166666666666667
"271","c6","APOA2",0.942857142857143,0.0166666666666667
"272","c11","APOA2",0.885714285714286,0.0333333333333333
"273","c2","IGKV1-6",0.885714285714286,0.0333333333333333
"274","c6","IGKV1-6",0.885714285714286,0.0333333333333333
"275","c11","IGKV1-6",0.942857142857143,0.0166666666666667
"276","c5","PBLD",0.885714285714286,0.0333333333333333
"277","c7","DHX15",0.942857142857143,0.0166666666666667
"278","c7","ATP2B1",0.885714285714286,0.0333333333333333
"279","c7","PPP4C",0.885714285714286,0.0333333333333333
"280","c9","TXN",0.942857142857143,0.0166666666666667
"281","c9","MBL2",0.885714285714286,0.0333333333333333
"282","c7","LDLR",0.885714285714286,0.0333333333333333
"283","c0","F13B",0.942857142857143,0.0166666666666667
"284","c6","ADIPOQ",1,0.00277777777777778
"285","c12","ADIPOQ",0.942857142857143,0.0166666666666667
"286","c7","TUBB",0.885714285714286,0.0333333333333333
"287","c7","SNX1",0.885714285714286,0.0333333333333333
"288","c7","CKMT1B",0.942857142857143,0.0166666666666667
"289","c9","COL18A1",0.942857142857143,0.0166666666666667
"290","c1","KNG1",0.942857142857143,0.0166666666666667
"291","c8","KNG1",0.885714285714286,0.0333333333333333
"292","c6","IGHV3-15",0.942857142857143,0.0166666666666667
"293","c12","IGHV3-15",1,0.00277777777777778
"294","c1","POLR2G",0.942857142857143,0.0166666666666667
"295","c13","NACA",0.885714285714286,0.0333333333333333
